2018-11-04 15:06:59,594 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: KarafTwitterAPI:KarafTwitterAPI:0.0.1-SNAPSHOT @ C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\pom.xml.
2018-11-04 15:07:07,591 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KarafTwitterAPI/src
2018-11-04 15:07:07,592 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /KarafTwitterAPI/src/test/java because it overlaps with /KarafTwitterAPI/src
2018-11-04 15:07:08,319 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 19 sec
2018-11-04 15:07:10,900 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 15:07:10,966 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 15:07:10,970 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 15:07:11,036 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 15:34:18,394 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 15:34:18,402 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 15:34:18,403 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 15:34:18,407 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 16:43:28,900 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 16:43:28,917 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 16:43:28,918 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 16:43:28,923 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 16:45:41,196 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 16:45:41,212 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 16:45:41,214 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 16:45:41,225 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 16:46:04,863 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 16:46:04,875 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 16:46:04,880 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 16:46:04,885 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 16:46:20,770 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
